Season,Team,Lg,Salary
2003-04,Toronto Raptors,NBA,"$2,911,320"
2004-05,Toronto Raptors,NBA,"$3,129,720"
2005-06,Toronto Raptors,NBA,"$3,348,000"
2006-07,Toronto Raptors,NBA,"$4,235,220"
2007-08,Toronto Raptors,NBA,"$12,455,000"
2008-09,Toronto Raptors,NBA,"$14,410,581"
2009-10,Toronto Raptors,NBA,"$15,779,912"
2010-11,Miami Heat,NBA,"$14,500,000"
2011-12,Miami Heat,NBA,"$16,022,500"
2012-13,Miami Heat,NBA,"$17,545,000"
2013-14,Miami Heat,NBA,"$19,067,500"
2014-15,Miami Heat,NBA,"$20,644,400"
2015-16,Miami Heat,NBA,"$22,192,730"
2016-17,Miami Heat,NBA,"$23,741,060"
2017-18,Miami Heat,NBA,"$25,289,390"
2018-19,Miami Heat,NBA,"$26,837,720"
Career,(may be incomplete),,"$242,110,053"
