PERSON_ID,PLAYER_NAME,SEASON,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK,DRAFT_TYPE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,ORGANIZATION,ORGANIZATION_TYPE,PLAYER_PROFILE_FLAG
2030,Kenyon Martin,2000,1,1,1,Draft,1610612751,New Jersey,Nets,NJN,Cincinnati,College/University,1
2031,Stromile Swift,2000,1,2,2,Draft,1610612763,Vancouver,Grizzlies,VAN,Louisiana State,College/University,1
2032,Darius Miles,2000,1,3,3,Draft,1610612746,Los Angeles,Clippers,LAC,East St. Louis,High School,1
2033,Marcus Fizer,2000,1,4,4,Draft,1610612741,Chicago,Bulls,CHI,Iowa State,College/University,1
2034,Mike Miller,2000,1,5,5,Draft,1610612753,Orlando,Magic,ORL,Florida,College/University,1
2035,DerMarr Johnson,2000,1,6,6,Draft,1610612737,Atlanta,Hawks,ATL,Cincinnati,College/University,1
2036,Chris Mihm,2000,1,7,7,Draft,1610612741,Chicago,Bulls,CHI,Texas,College/University,1
2037,Jamal Crawford,2000,1,8,8,Draft,1610612739,Cleveland,Cavaliers,CLE,Michigan,College/University,1
2038,Joel Przybilla,2000,1,9,9,Draft,1610612745,Houston,Rockets,HOU,Minnesota,College/University,1
2039,Keyon Dooling,2000,1,10,10,Draft,1610612753,Orlando,Magic,ORL,Missouri,College/University,1
2040,Jerome Moiso,2000,1,11,11,Draft,1610612738,Boston,Celtics,BOS,California-Los Angeles,College/University,1
2041,Etan Thomas,2000,1,12,12,Draft,1610612742,Dallas,Mavericks,DAL,Syracuse,College/University,1
2042,Courtney Alexander,2000,1,13,13,Draft,1610612753,Orlando,Magic,ORL,Fresno State,College/University,1
2043,Mateen Cleaves,2000,1,14,14,Draft,1610612765,Detroit,Pistons,DET,Michigan State,College/University,1
2044,Jason Collier,2000,1,15,15,Draft,1610612749,Milwaukee,Bucks,MIL,Georgia Tech,College/University,1
2045,Hedo Turkoglu,2000,1,16,16,Draft,1610612758,Sacramento,Kings,SAC,Anadolu Efes S.K. (Turkey),Other Team/Club,1
2046,Desmond Mason,2000,1,17,17,Draft,1610612760,Seattle,SuperSonics,SEA,Oklahoma State,College/University,1
2047,Quentin Richardson,2000,1,18,18,Draft,1610612746,Los Angeles,Clippers,LAC,DePaul,College/University,1
2048,Jamaal Magloire,2000,1,19,19,Draft,1610612766,Charlotte,Hornets,CHH,Kentucky,College/University,1
2049,Speedy Claxton,2000,1,20,20,Draft,1610612755,Philadelphia,76ers,PHI,Hofstra,College/University,1
2050,Morris Peterson,2000,1,21,21,Draft,1610612761,Toronto,Raptors,TOR,Michigan State,College/University,1
2051,Donnell Harvey,2000,1,22,22,Draft,1610612752,New York,Knicks,NYK,Florida,College/University,1
2052,DeShawn Stevenson,2000,1,23,23,Draft,1610612762,Utah,Jazz,UTA,Washington Union,High School,1
2053,Dalibor Bagaric,2000,1,24,24,Draft,1610612741,Chicago,Bulls,CHI,KK Dubrava (Croatia),Other Team/Club,1
2054,Jake Tsakalidis,2000,1,25,25,Draft,1610612756,Phoenix,Suns,PHX,A.E.K. Athens B.C. (Greece),Other Team/Club,1
2055,Mamadou N'diaye,2000,1,26,26,Draft,1610612743,Denver,Nuggets,DEN,Auburn,College/University,1
2056,Primoz Brezec,2000,1,27,27,Draft,1610612754,Indiana,Pacers,IND,KK Olimpija (Slovenia),Other Team/Club,1
2057,Erick Barkley,2000,1,28,28,Draft,1610612757,Portland,Trail Blazers,POR,St. John's (NY),College/University,1
2058,Mark Madsen,2000,1,29,29,Draft,1610612747,Los Angeles,Lakers,LAL,Stanford,College/University,1
2060,Marko Jaric,2000,2,1,30,Draft,1610612746,Los Angeles,Clippers,LAC,Fortitudo Pallacanestro Bologna (Italy),Other Team/Club,1
2061,Dan Langhi,2000,2,2,31,Draft,1610612742,Dallas,Mavericks,DAL,Vanderbilt,College/University,1
2062,A.J. Guyton,2000,2,3,32,Draft,1610612741,Chicago,Bulls,CHI,Indiana,College/University,1
2063,Jake Voskuhl,2000,2,4,33,Draft,1610612741,Chicago,Bulls,CHI,Connecticut,College/University,1
2064,Khalid El-Amin,2000,2,5,34,Draft,1610612741,Chicago,Bulls,CHI,Connecticut,College/University,1
2065,Mike Smith,2000,2,6,35,Draft,1610612764,Washington,Wizards,WAS,Louisiana-Monroe,College/University,1
2066,Soumaila Samake,2000,2,7,36,Draft,1610612751,New Jersey,Nets,NJN,Cincinnati Stuff (IBL),Other Team/Club,1
2067,Eddie House,2000,2,8,37,Draft,1610612748,Miami,Heat,MIA,Arizona State,College/University,1
2059,Eduardo Najera,2000,2,9,38,Draft,1610612745,Houston,Rockets,HOU,Oklahoma,College/University,1
2068,Lavor Postell,2000,2,10,39,Draft,1610612752,New York,Knicks,NYK,St. John's (NY),College/University,1
2069,Hanno Mottola,2000,2,11,40,Draft,1610612737,Atlanta,Hawks,ATL,Utah,College/University,1
2070,Chris Carrawell,2000,2,12,41,Draft,1610612759,San Antonio,Spurs,SAS,Duke,College/University,0
