"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2014-15,21,MEM,NBA,PF,19.0,2.0,126.0,0.568,3.2,1.0,0.703,0.189,0.081,0.027,0.0,0.568,0.654,0.286,0.667,0.0,0.571,0.108,3.0,0.0,0.0,
2015-16,22,2TM,NBA,C,7.0,0.0,18.0,0.6,8.2,1.0,0.4,0.2,0.0,0.4,0.0,0.6,1.0,1.0,,0.0,0.667,0.0,0.0,0.0,0.0,
2015-16,22,MEM,NBA,C,2.0,0.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,
2015-16,22,MIA,NBA,C,5.0,0.0,14.0,0.6,8.2,1.0,0.4,0.2,0.0,0.4,0.0,0.6,1.0,1.0,,0.0,0.667,0.0,0.0,0.0,0.0,
2016-17,23,DEN,NBA,C,2.0,0.0,7.0,1.0,1.9,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,28.0,2.0,151.0,0.581,4.5,1.0,0.674,0.186,0.07,0.07,0.0,0.581,0.69,0.375,0.667,0.0,0.6,0.093,3.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,6.0,442.0,0.581,,1.0,0.674,0.186,0.07,0.07,0.0,0.581,0.69,0.375,0.667,0.0,0.6,0.093,9.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,21.0,2.0,130.0,0.568,3.2,1.0,0.703,0.189,0.081,0.027,0.0,0.568,0.654,0.286,0.667,0.0,0.571,0.108,3.0,0.0,0.0,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,5.0,0.0,14.0,0.6,8.2,1.0,0.4,0.2,0.0,0.4,0.0,0.6,1.0,1.0,,0.0,0.667,0.0,0.0,0.0,0.0,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,2.0,0.0,7.0,1.0,1.9,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,0.0,
