Season,Team,Lg,Salary
2001-02,Washington Wizards,NBA,"$3,697,440"
2002-03,Washington Wizards,NBA,"$3,974,760"
2003-04,Washington Wizards,NBA,"$4,252,080"
2004-05,Washington Wizards,NBA,"$5,361,873"
2005-06,Los Angeles Lakers,NBA,"$7,500,000"
2006-07,Los Angeles Lakers,NBA,"$8,287,500"
2007-08,Memphis Grizzlies,NBA,"$9,075,000"
2008-09,Detroit Pistons,NBA,"$4,000,000"
2009-10,Detroit Pistons,NBA,"$4,100,000"
2010-11,Charlotte Bobcats,NBA,"$1,229,255"
2011-12,Golden State Warriors,NBA,"$6,750,000"
2012-13,Philadelphia 76ers,NBA,"$2,819,044"
2013-14,Philadelphia 76ers,NBA,"$2,945,901"
Career,(may be incomplete),,"$63,992,853"
