2019-20,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2020-21,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
,,,,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,743,505,19001,7.0,14.1,.493,0.2,0.5,.339,6.8,13.6,.499,.499,2.8,3.7,.740,2.5,6.8,9.4,2.3,0.9,0.4,2.1,3.9,16.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOU (5 Yrs),HOU (5 Yrs),HOU (5 Yrs),HOU (5 Yrs),,386,343,11662,7.2,14.1,.510,0.0,0.1,.059,7.2,14.1,.512,.510,2.9,3.9,.744,2.5,6.7,9.2,2.2,0.8,0.4,2.1,3.7,17.3,
IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),,163,18,3058,6.6,14.2,.468,0.1,0.3,.222,6.6,13.8,.474,.471,3.0,4.3,.710,2.6,8.2,10.8,2.2,0.9,0.4,2.4,4.2,16.4,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,82,67,2184,7.1,15.1,.472,0.0,0.3,.188,7.1,14.8,.477,.474,3.0,3.8,.787,2.6,6.3,8.9,3.0,1.1,0.6,2.1,4.2,17.3,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,76,76,1636,5.9,13.2,.450,1.4,3.5,.404,4.5,9.6,.467,.504,1.3,1.8,.726,1.8,6.1,7.9,1.5,1.0,0.6,1.5,3.9,14.6,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,36,1,461,5.5,11.8,.470,1.3,3.9,.340,4.2,7.9,.535,.526,2.0,2.9,.676,4.0,6.9,10.9,2.9,1.1,0.3,2.7,4.9,14.4,
