"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Georges Niang,,2.9,2.8,2.6,2.5,2.4,1.8,1.3,0.0,-0.3,,
Mike Scott,88.9,3.2,2.7,2.6,2.5,2.5,1.6,1.0,0.9,-0.1,,
James Ennis III,87.7,3.1,3.1,2.6,2.4,2.0,1.9,0.9,0.1,,,
Corky Calhoun,83.4,3.1,2.5,2.3,2.2,2.1,1.3,1.0,0.0,,,
P.J. Washington,83.3,3.4,2.7,2.6,2.4,2.0,1.9,,,,,
Andrew DeClercq,82.5,3.4,3.1,2.9,2.6,2.5,1.7,1.6,1.0,0.4,0.1,
Matt Bullard,81.5,3.4,2.6,2.5,2.4,1.8,1.7,1.0,0.6,0.5,0.2,0.1
Don Reid,81.3,2.9,2.8,2.7,2.3,1.1,1.0,0.9,-0.1,,,
Omri Casspi,80.8,3.6,2.7,2.5,2.5,2.4,2.2,1.3,1.2,0.7,0.5,
Kevin Restani,80.5,3.5,2.6,2.2,2.1,2.0,1.8,0.5,0.0,,,
Sidney Green,79.8,3.4,2.7,2.5,2.0,1.9,1.9,1.7,0.6,0.4,0.3,
