"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Kelly Oubre Jr.,,3.8,3.7,3.3,3.0,2.6,2.2,2.2,2.0,1.7,0.4
Fred Roberts,93.3,4.2,3.9,3.5,3.0,2.6,2.2,2.0,1.9,1.8,0.2
Tom McMillen,92.6,3.9,3.7,2.9,2.9,2.7,2.5,2.4,2.2,2.0,0.8
Othella Harrington,91.2,3.8,3.6,3.0,3.0,2.5,2.2,1.7,1.4,1.1,0.8
Dante Cunningham,90.4,3.5,3.4,3.0,2.9,2.4,2.1,2.0,1.9,1.9,1.6
Vladimir RadmanoviÄ,88.7,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,0.8,0.0
Jonas Jerebko,88.5,4.4,3.5,3.4,3.3,3.3,2.4,2.1,2.0,1.4,
Charles Jones,88.5,3.8,3.2,2.9,2.8,2.2,2.2,1.8,1.6,1.6,0.0
Dwight Jones,88.0,3.9,3.8,3.6,3.1,2.9,2.9,2.7,2.6,1.3,0.6
J.R. Reid,88.0,3.5,3.4,3.0,2.5,2.5,2.1,1.8,1.8,1.1,0.7
Tom Hawkins,87.2,4.1,3.2,2.9,2.5,2.4,2.3,2.3,2.1,1.2,1.0
