Season,Team,Lg,Salary
2010-11,Indiana Pacers,NBA,"$2,238,360"
2011-12,Indiana Pacers,NBA,"$2,406,240"
2012-13,Indiana Pacers,NBA,"$2,574,120"
2013-14,Indiana Pacers,NBA,"$3,282,003"
2014-15,Indiana Pacers,NBA,"$15,925,680"
2015-16,Indiana Pacers,NBA,"$17,120,106"
2016-17,Indiana Pacers,NBA,"$18,314,532"
2017-18,Oklahoma City Thunder,NBA,"$19,508,958"
2018-19,Oklahoma City Thunder,NBA,"$30,560,700"
2019-20,Los Angeles Clippers,NBA,"$33,005,556"
2020-21,Los Angeles Clippers,NBA,"$35,450,412"
2021-22,Los Angeles Clippers,NBA,"$39,344,970"
2022-23,Los Angeles Clippers,NBA,"$42,492,492"
2023-24,Los Angeles Clippers,NBA,"$45,640,084"
2024-25,Philadelphia 76ers,NBA,"$49,205,800"
Career,(may be incomplete),,"$357,070,013"
