2015-16,30,PHO,NBA,SF,82,80,2540,10.8,.506,.354,.244,6.9,15.2,10.9,10.2,2.0,0.6,14.7,12.7,1.5,1.9,3.5,.066,-1.5,0.4,-1.2,0.5,
2016-17,31,2TM,NBA,SF,81,21,2236,10.5,.516,.407,.193,5.6,17.7,11.6,6.0,2.5,0.7,11.2,11.2,1.4,2.2,3.6,.078,-1.5,1.2,-0.3,1.0,
2016-17,31,PHO,NBA,SF,57,17,1627,10.6,.517,.384,.218,6.1,17.0,11.4,6.1,2.5,0.7,11.8,11.3,1.0,1.3,2.4,.069,-1.5,0.9,-0.6,0.6,
2016-17,31,TOR,NBA,SF,24,4,609,10.4,.515,.469,.125,4.3,19.6,12.0,5.9,2.6,0.7,9.4,10.9,0.4,0.9,1.3,.099,-1.4,1.9,0.5,0.4,
2017-18,32,HOU,NBA,PF,82,34,2281,8.3,.537,.703,.136,4.6,17.8,11.3,4.6,1.7,1.0,13.7,10.5,1.0,3.0,3.9,.082,-1.9,0.8,-1.1,0.5,
2018-19,33,HOU,NBA,PF,82,82,2802,9.2,.547,.740,.113,4.7,14.4,9.5,4.6,2.3,1.2,10.3,9.5,2.0,3.0,5.0,.086,-1.6,1.0,-0.6,1.0,
2019-20,34,HOU,NBA,PF,72,72,2467,8.3,.559,.702,.113,4.7,15.6,10.1,6.0,1.4,1.2,13.9,8.7,1.6,2.4,4.0,.078,-2.4,0.6,-1.9,0.1,
2020-21,35,2TM,NBA,PF,52,33,1356,5.5,.510,.672,.158,3.9,12.3,8.0,5.7,1.4,1.3,17.4,7.2,0.1,0.9,1.0,.034,-4.6,0.5,-4.1,-0.7,
2020-21,35,HOU,NBA,PF,32,32,959,5.5,.500,.656,.176,3.5,13.3,8.2,6.1,1.4,1.7,19.0,7.7,-0.2,0.6,0.4,.021,-5.3,0.7,-4.6,-0.6,
2020-21,35,MIL,NBA,PF,20,1,397,5.7,.539,.717,.109,4.9,9.7,7.4,4.6,1.2,0.4,12.7,5.8,0.2,0.3,0.5,.065,-2.9,0.0,-2.9,-0.1,
2021-22,36,MIA,NBA,PF,71,70,1981,11.3,.593,.451,.143,5.8,16.2,11.1,10.6,1.5,0.8,12.7,11.7,2.4,2.6,5.0,.121,-0.8,1.4,0.6,1.3,
2022-23,37,PHI,NBA,PF,75,75,1920,5.7,.566,.622,.102,5.9,12.1,9.1,3.9,1.0,0.7,15.8,6.5,0.9,1.7,2.5,.064,-3.2,0.2,-3.0,-0.5,
2023-24,38,2TM,NBA,PF,31,10,486,5.9,.507,.700,.060,6.7,12.9,9.8,3.9,1.6,1.3,13.5,5.3,0.2,0.5,0.7,.068,-4.0,0.4,-3.6,-0.2,
2023-24,38,PHI,NBA,PF,3,3,66,4.7,.600,1.000,.000,1.6,22.1,11.7,0.0,2.2,2.8,28.6,4.6,0.0,0.1,0.1,.053,-5.2,1.2,-4.0,0.0,
2023-24,38,LAC,NBA,PF,28,7,420,6.1,.497,.667,.067,7.5,11.4,9.5,4.5,1.5,1.1,11.5,5.5,0.3,0.3,0.6,.070,-3.9,0.3,-3.5,-0.2,
2024-25,39,NYK,NBA,SF,3,1,58,5.5,.643,.857,.000,8.0,7.8,7.9,0.0,0.9,1.6,12.5,6.0,0.0,0.0,0.1,.070,-4.8,-2.4,-7.2,-0.1,
,,,,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
14 Yrs,14 Yrs,14 Yrs,14 Yrs,,886,667,24993,9.9,.539,.479,.192,5.8,15.5,10.6,6.8,1.9,0.9,13.0,10.9,18.5,24.9,43.3,.083,-1.7,0.7,-1.0,6.4,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,62,2313,9.9,.539,.479,.192,5.8,15.5,10.6,6.8,1.9,0.9,13.0,10.9,1.7,2.3,4.0,.083,-1.7,0.7,-1.0,0.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHO (5 Yrs),PHO (5 Yrs),PHO (5 Yrs),PHO (5 Yrs),,377,286,10950,11.8,.527,.330,.250,6.6,16.0,11.3,8.3,2.1,0.7,13.0,13.1,9.8,9.9,19.7,.086,-0.9,0.6,-0.3,4.6,
HOU (4 Yrs),HOU (4 Yrs),HOU (4 Yrs),HOU (4 Yrs),,268,220,8509,8.3,.543,.711,.125,4.5,15.6,10.0,5.2,1.8,1.2,13.1,9.3,4.4,9.0,13.4,.075,-2.3,0.8,-1.5,1.0,
PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),,78,78,1986,5.6,.566,.630,.100,5.8,12.4,9.2,3.8,1.0,0.8,16.1,6.4,0.8,1.8,2.6,.063,-3.2,0.2,-3.1,-0.5,
TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),,41,4,692,10.7,.518,.400,.200,5.6,19.3,12.5,5.9,2.4,0.6,10.9,11.9,0.5,0.9,1.4,.097,-1.5,1.6,0.1,0.4,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,71,70,1981,11.3,.593,.451,.143,5.8,16.2,11.1,10.6,1.5,0.8,12.7,11.7,2.4,2.6,5.0,.121,-0.8,1.4,0.6,1.3,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,28,7,420,6.1,.497,.667,.067,7.5,11.4,9.5,4.5,1.5,1.1,11.5,5.5,0.3,0.3,0.6,.070,-3.9,0.3,-3.5,-0.2,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,20,1,397,5.7,.539,.717,.109,4.9,9.7,7.4,4.6,1.2,0.4,12.7,5.8,0.2,0.3,0.5,.065,-2.9,0.0,-2.9,-0.1,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,3,1,58,5.5,.643,.857,.000,8.0,7.8,7.9,0.0,0.9,1.6,12.5,6.0,0.0,0.0,0.1,.070,-4.8,-2.4,-7.2,-0.1,
