2008-09,28,HOU,NBA,PF,82,82,2488,9.1,17.1,.531,0.0,0.1,.000,9.1,17.0,.533,.531,4.2,5.5,.760,4.3,11.1,15.4,2.6,1.5,0.2,2.6,5.6,22.3,114,102,
2009-10,29,HOU,NBA,PF,82,82,2671,10.7,20.8,.514,0.0,0.1,.200,10.7,20.7,.515,.514,4.0,5.1,.779,3.3,10.1,13.5,3.2,1.2,0.5,3.1,4.7,25.4,108,107,
2010-11,30,HOU,NBA,PF,74,74,2412,12.0,23.9,.504,0.0,0.1,.000,12.0,23.8,.505,.504,4.5,6.1,.738,3.1,9.7,12.8,3.9,1.0,0.9,3.1,4.8,28.6,108,108,
2011-12,31,HOU,NBA,PF,66,66,2067,11.0,22.5,.491,0.0,0.1,.000,11.0,22.4,.493,.491,3.9,5.0,.773,3.1,7.8,10.8,3.5,0.9,0.6,3.9,5.4,26.0,102,107,
2012-13,32,PHO,NBA,PF,82,67,2184,10.2,21.5,.472,0.1,0.4,.188,10.1,21.1,.477,.474,4.3,5.4,.787,3.7,9.0,12.7,4.3,1.6,0.8,3.0,6.0,24.6,105,107,
2013-14,33,IND,NBA,PF,82,2,1399,9.8,20.8,.470,0.0,0.3,.143,9.7,20.5,.474,.471,3.7,5.0,.728,3.2,11.3,14.5,3.0,1.0,0.6,4.0,6.1,23.2,96,99,
2014-15,34,IND,NBA,PF,81,16,1659,9.3,19.9,.467,0.2,0.6,.250,9.2,19.3,.474,.471,4.9,7.0,.699,4.3,12.0,16.3,3.3,1.5,0.6,2.9,6.0,23.7,104,101,
2015-16,35,TOR,NBA,PF,76,76,1636,8.5,18.9,.450,2.1,5.1,.404,6.4,13.8,.467,.504,1.9,2.7,.726,2.7,8.7,11.4,2.1,1.5,0.9,2.1,5.6,21.0,105,105,
2016-17,36,BRK,NBA,PF,36,1,461,7.3,15.5,.470,1.7,5.1,.340,5.6,10.4,.535,.526,2.6,3.8,.676,5.2,9.0,14.3,3.8,1.4,0.4,3.5,6.5,18.9,107,110,
2017-18,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2018-19,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2019-20,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2020-21,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
,,,,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,743,505,19001,10.0,20.3,.493,0.3,0.7,.339,9.7,19.5,.499,.499,4.0,5.3,.740,3.6,9.8,13.5,3.3,1.3,0.6,3.1,5.5,24.2,106,105,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOU (5 Yrs),HOU (5 Yrs),HOU (5 Yrs),HOU (5 Yrs),,386,343,11662,10.4,20.4,.510,0.0,0.1,.059,10.4,20.4,.512,.510,4.1,5.6,.744,3.7,9.7,13.3,3.2,1.2,0.6,3.1,5.3,25.0,108,105,
IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),,163,18,3058,9.5,20.3,.468,0.1,0.5,.222,9.4,19.9,.474,.471,4.3,6.1,.710,3.8,11.7,15.5,3.1,1.2,0.6,3.4,6.0,23.5,101,100,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,82,67,2184,10.2,21.5,.472,0.1,0.4,.188,10.1,21.1,.477,.474,4.3,5.4,.787,3.7,9.0,12.7,4.3,1.6,0.8,3.0,6.0,24.6,105,107,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,76,76,1636,8.5,18.9,.450,2.1,5.1,.404,6.4,13.8,.467,.504,1.9,2.7,.726,2.7,8.7,11.4,2.1,1.5,0.9,2.1,5.6,21.0,105,105,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,36,1,461,7.3,15.5,.470,1.7,5.1,.340,5.6,10.4,.535,.526,2.6,3.8,.676,5.2,9.0,14.3,3.8,1.4,0.4,3.5,6.5,18.9,107,110,
