2015-16,30,PHO,NBA,SF,82,80,2540,4.6,11.2,.411,1.3,4.0,.330,3.3,7.2,.455,.469,2.0,2.7,.746,3.2,6.7,9.8,3.4,2.0,0.4,2.1,3.9,12.5,105,109,
2016-17,31,2TM,NBA,SF,81,21,2236,4.3,10.5,.413,1.5,4.3,.357,2.8,6.2,.451,.485,1.6,2.0,.774,2.5,7.7,10.2,2.2,2.5,0.4,1.4,4.3,11.7,109,109,
2016-17,31,PHO,NBA,SF,57,17,1627,4.3,10.4,.415,1.4,4.0,.338,3.0,6.4,.463,.480,1.8,2.3,.792,2.8,7.3,10.1,2.1,2.5,0.4,1.5,4.2,11.8,109,111,
2016-17,31,TOR,NBA,SF,24,4,609,4.3,10.7,.406,2.0,5.0,.400,2.3,5.7,.412,.500,0.9,1.3,.688,1.9,8.8,10.7,2.2,2.6,0.4,1.2,4.4,11.6,110,106,
2017-18,32,HOU,NBA,PF,82,34,2281,3.7,9.5,.390,2.5,6.7,.371,1.2,2.8,.435,.520,0.9,1.3,.717,2.0,7.9,9.9,1.7,1.7,0.6,1.6,4.4,10.8,107,106,
2018-19,33,HOU,NBA,PF,82,82,2802,3.6,9.2,.396,2.6,6.8,.377,1.1,2.4,.449,.535,0.7,1.0,.695,2.1,6.3,8.4,1.7,2.3,0.7,1.1,4.4,10.5,114,110,
2019-20,34,HOU,NBA,PF,72,72,2467,3.3,8.0,.415,2.0,5.6,.358,1.3,2.4,.551,.541,0.7,0.9,.813,2.1,6.8,8.9,2.2,1.4,0.7,1.4,4.3,9.4,114,111,
2020-21,35,2TM,NBA,PF,52,33,1356,2.3,6.2,.373,1.4,4.1,.336,0.9,2.0,.448,.486,0.7,1.0,.750,1.8,5.3,7.1,2.1,1.4,0.7,1.4,4.4,6.7,104,116,
2020-21,35,HOU,NBA,PF,32,32,959,2.4,6.5,.366,1.3,4.2,.314,1.0,2.2,.467,.469,0.9,1.1,.783,1.6,5.7,7.3,2.2,1.4,0.9,1.6,4.5,7.0,99,116,
2020-21,35,MIL,NBA,PF,20,1,397,2.1,5.4,.391,1.5,3.9,.394,0.6,1.5,.385,.533,0.4,0.6,.600,2.1,4.5,6.6,1.9,1.2,0.2,0.8,4.0,6.2,120,115,
2021-22,36,MIA,NBA,PF,71,70,1981,5.2,10.8,.484,2.0,4.9,.415,3.2,5.9,.540,.577,1.1,1.5,.738,2.5,7.2,9.8,3.8,1.5,0.4,1.7,4.1,13.6,120,110,
2022-23,37,PHI,NBA,PF,75,75,1920,2.5,5.8,.427,1.4,3.6,.393,1.1,2.2,.482,.549,0.5,0.6,.826,2.5,5.2,7.6,1.5,1.0,0.4,1.1,4.6,6.9,117,116,
2023-24,38,2TM,NBA,PF,31,10,486,1.8,5.1,.360,1.3,3.6,.371,0.5,1.5,.333,.490,0.3,0.3,1.000,2.8,5.8,8.6,1.6,1.6,0.7,0.8,5.5,5.3,120,116,
2023-24,38,PHI,NBA,PF,3,3,66,1.5,3.7,.400,1.5,3.7,.400,0.0,0.0,,.600,0.0,0.0,,0.7,9.7,10.4,0.0,2.2,1.5,1.5,6.7,4.5,87,110,
2023-24,38,LAC,NBA,PF,28,7,420,1.9,5.3,.356,1.3,3.5,.367,0.6,1.8,.333,.478,0.4,0.4,1.000,3.2,5.2,8.3,1.9,1.5,0.6,0.7,5.3,5.4,124,117,
2024-25,39,NYK,NBA,SF,3,1,58,2.6,6.0,.429,2.6,5.1,.500,0.0,0.9,.000,.643,0.0,0.0,,3.4,3.4,6.8,0.0,0.9,0.9,0.9,6.8,7.7,129,118,
,,,,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
14 Yrs,14 Yrs,14 Yrs,14 Yrs,,886,667,24993,4.2,9.9,.425,1.7,4.7,.366,2.5,5.1,.479,.512,1.4,1.9,.750,2.6,6.8,9.4,2.4,1.9,0.5,1.6,4.2,11.5,111,110,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHO (5 Yrs),PHO (5 Yrs),PHO (5 Yrs),PHO (5 Yrs),,377,286,10950,5.1,11.7,.433,1.3,3.9,.347,3.7,7.9,.475,.490,2.2,2.9,.757,3.0,7.1,10.1,2.8,2.1,0.4,1.9,4.0,13.7,109,108,
HOU (4 Yrs),HOU (4 Yrs),HOU (4 Yrs),HOU (4 Yrs),,268,220,8509,3.4,8.6,.397,2.2,6.1,.365,1.2,2.5,.476,.527,0.8,1.1,.742,2.0,6.8,8.8,1.9,1.8,0.7,1.4,4.4,9.8,110,110,
PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),,78,78,1986,2.4,5.7,.426,1.4,3.6,.393,1.0,2.1,.482,.550,0.5,0.6,.826,2.4,5.3,7.7,1.5,1.0,0.4,1.1,4.7,6.8,116,116,
TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),,41,4,692,4.6,11.0,.420,1.8,4.4,.400,2.9,6.6,.433,.500,1.4,2.2,.633,2.5,8.7,11.2,2.1,2.4,0.4,1.5,4.8,12.4,109,106,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,71,70,1981,5.2,10.8,.484,2.0,4.9,.415,3.2,5.9,.540,.577,1.1,1.5,.738,2.5,7.2,9.8,3.8,1.5,0.4,1.7,4.1,13.6,120,110,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,28,7,420,1.9,5.3,.356,1.3,3.5,.367,0.6,1.8,.333,.478,0.4,0.4,1.000,3.2,5.2,8.3,1.9,1.5,0.6,0.7,5.3,5.4,124,117,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,20,1,397,2.1,5.4,.391,1.5,3.9,.394,0.6,1.5,.385,.533,0.4,0.6,.600,2.1,4.5,6.6,1.9,1.2,0.2,0.8,4.0,6.2,120,115,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,3,1,58,2.6,6.0,.429,2.6,5.1,.500,0.0,0.9,.000,.643,0.0,0.0,,3.4,3.4,6.8,0.0,0.9,0.9,0.9,6.8,7.7,129,118,
