player_name,OVERALL_PICK,SEASON,Totals_FG,Totals_FT,Totals_TRB,Totals_BLK,Totals_STL,Totals_TOV,Totals_PF,Shooting_FG%,MP,Age
Kenyon Martin,1,2000,221,141,300,107.0,43.0,56.0,71.0,0.568,909.0,22.0
Stromile Swift,2,2000,208,127,279,95.0,50.0,80.0,88.0,0.608,1013.0,20.0
Marcus Fizer,4,2000,327,175,285,39.0,29.0,77.0,103.0,0.582,1243.0,21.0
Mike Miller,5,2000,175,124,243,15.0,46.0,71.0,70.0,0.476,1058.0,19.0
DerMarr Johnson,6,2000,140,70,123,30.0,31.0,46.0,64.0,0.478,879.0,19.0
Chris Mihm,7,2000,206,164,346,90.0,11.0,81.0,90.0,0.523,1014.0,20.0
Jamal Crawford,8,2000,105,40,47,16.0,19.0,53.0,19.0,0.412,577.0,19.0
Joel Przybilla,9,2000,122,55,176,81.0,17.0,77.0,61.0,0.613,638.0,20.0
Keyon Dooling,10,2000,145,124,84,17.0,44.0,79.0,56.0,0.389,983.0,19.0
Etan Thomas,12,2000,148,99,269,107.0,22.0,59.0,92.0,0.602,940.0,21.0
Courtney Alexander,13,2000,142,60,70,1.0,20.0,31.0,50.0,0.42,732.0,19.0
Courtney Alexander,13,2000,252,107,128,4.0,37.0,67.0,61.0,0.447,974.0,22.0
Mateen Cleaves,14,2000,109,65,46,4.0,36.0,95.0,57.0,0.421,820.0,22.0
Jason Collier,15,2000,36,24,47,9.0,6.0,19.0,18.0,0.563,226.0,20.0
Jason Collier,15,2000,178,122,276,33.0,23.0,96.0,80.0,0.473,975.0,22.0
Desmond Mason,17,2000,211,125,225,33.0,41.0,60.0,69.0,0.499,1202.0,22.0
Quentin Richardson,18,2000,202,84,325,9.0,35.0,77.0,75.0,0.432,1150.0,19.0
Jamaal Magloire,19,2000,148,139,300,57.0,17.0,95.0,91.0,0.5,978.0,21.0
Speedy Claxton,20,2000,253,149,168,5.0,102.0,101.0,71.0,0.47,1089.0,21.0
Morris Peterson,21,2000,218,136,235,11.0,46.0,84.0,79.0,0.465,1136.0,22.0
Donnell Harvey,22,2000,144,86,258,31.0,27.0,60.0,101.0,0.507,746.0,19.0
Erick Barkley,28,2000,159,81,84,8.0,84.0,68.0,64.0,0.398,1033.0,21.0
Mark Madsen,29,2000,108,65,214,21.0,13.0,34.0,52.0,0.587,628.0,24.0
Dan Langhi,31,2000,222,162,181,9.0,13.0,53.0,56.0,0.477,1033.0,22.0
A.J. Guyton,32,2000,204,90,90,13.0,29.0,69.0,27.0,0.459,995.0,21.0
Jake Voskuhl,33,2000,109,71,219,47.0,18.0,62.0,93.0,0.571,778.0,22.0
Khalid El-Amin,34,2000,195,107,110,4.0,59.0,93.0,73.0,0.411,1118.0,20.0
Mike Smith,35,2000,187,113,264,25.0,42.0,121.0,56.0,0.424,1011.0,23.0
Eddie House,37,2000,263,137,175,2.0,74.0,72.0,66.0,0.422,1189.0,21.0
Lavor Postell,39,2000,171,106,229,21.0,30.0,49.0,79.0,0.428,1155.0,21.0
Chris Carrawell,41,2000,205,137,206,36.0,34.0,69.0,58.0,0.486,1212.0,22.0
Michael Redd,43,2000,197,90,196,6.0,37.0,62.0,56.0,0.436,1004.0,20.0
Brian Cardinal,44,2000,137,130,203,10.0,65.0,74.0,86.0,0.411,943.0,22.0
Jabari Smith,45,2000,156,100,239,33.0,24.0,88.0,84.0,0.553,969.0,22.0
Mark Karcher,48,2000,180,62,146,5.0,59.0,65.0,64.0,0.378,1022.0,21.0
Jason Richardson,5,2001,182,73,195,28.0,38.0,42.0,74.0,0.503,940.0,20.0
Shane Battier,6,2001,251,152,285,88.0,82.0,60.0,80.0,0.471,1363.0,22.0
Eddie Griffin,7,2001,206,80,323,133.0,26.0,67.0,71.0,0.429,979.0,18.0
Rodney White,9,2001,188,114,182,20.0,34.0,82.0,73.0,0.487,865.0,20.0
Joe Johnson,10,2001,162,68,193,12.0,43.0,70.0,46.0,0.468,873.0,19.0
Kedrick Brown,11,2001,266,124,280,19.0,34.0,68.0,73.0,0.528,1037.5,19.0
Richard Jefferson,13,2001,147,72,190,28.0,27.0,104.0,98.0,0.479,961.0,20.0
Troy Murphy,14,2001,223,177,277,50.0,27.0,90.0,96.0,0.471,1090.0,20.0
Steven Hunter,15,2001,138,67,169,72.0,5.0,44.0,70.0,0.592,808.0,19.0
Kirk Haston,16,2001,243,114,288,40.0,36.0,79.0,93.0,0.44,1018.0,21.0
Michael Bradley,17,2001,157,50,182,30.0,29.0,64.0,72.0,0.657,811.0,19.0
Michael Bradley,17,2001,254,125,303,56.0,28.0,88.0,89.0,0.692,1053.0,21.0
Jason Collins,18,2001,168,145,265,43.0,28.0,53.0,79.0,0.62,895.0,22.0
Zach Randolph,19,2001,138,80,221,22.0,24.0,53.0,60.0,0.587,654.0,19.0
Brendan Haywood,20,2001,155,95,242,120.0,18.0,66.0,97.0,0.592,901.0,21.0
Joseph Forte,21,2001,251,133,201,12.0,67.0,84.0,60.0,0.45,1145.0,19.0
Jeryl Sasser,22,2001,170,117,242,16.0,41.0,62.0,62.0,0.394,1011.0,21.0
Brandon Armstrong,23,2001,240,128,101,6.0,46.0,65.0,85.0,0.447,1027.0,20.0
Gerald Wallace,25,2001,126,88,216,37.0,42.0,86.0,87.0,0.438,824.0,18.0
Samuel Dalembert,26,2001,100,40,166,60.0,14.0,55.0,95.0,0.565,622.0,19.0
Jamaal Tinsley,27,2001,139,128,117,19.0,79.0,117.0,92.0,0.399,999.0,22.0
Trenton Hassell,29,2001,246,148,249,15.0,39.0,121.0,67.0,0.485,1213.0,21.0
Gilbert Arenas,30,2001,208,97,131,7.0,65.0,101.0,82.0,0.479,1044.0,19.0
Omar Cook,31,2001,141,95,88,5.0,66.0,148.0,82.0,0.36,1107.0,19.0
Will Solomon,32,2001,183,130,86,9.0,42.0,123.0,71.0,0.397,998.0,22.0
Terence Morris,33,2001,158,97,277,79.0,32.0,64.0,94.0,0.432,993.0,22.0
Brian Scalabrine,34,2001,173,133,202,31.0,30.0,104.0,89.0,0.478,1116.0,22.0
Jeff Trepagnier,35,2001,72,37,107,20.0,32.0,40.0,56.0,0.453,621.0,21.0
Damone Brown,36,2001,215,125,300,48.0,58.0,69.0,92.0,0.492,1222.0,21.0
Michael Wright,38,2001,202,157,281,10.0,20.0,63.0,85.0,0.594,1004.0,21.0
Earl Watson,39,2001,172,89,117,11.0,62.0,108.0,100.0,0.493,1115.0,21.0
