0
2003-04 All-Rookie (1st)
2004-05 All-NBA (2nd)
2005-06 All-NBA (1st)
2006-07 All-NBA (2nd)
2007-08 All-NBA (1st)
2008-09 All-Defensive (1st)
2008-09 All-NBA (1st)
2009-10 All-Defensive (1st)
2009-10 All-NBA (1st)
2010-11 All-Defensive (1st)
2010-11 All-NBA (1st)
2011-12 All-Defensive (1st)
2011-12 All-NBA (1st)
2012-13 All-Defensive (1st)
2012-13 All-NBA (1st)
2013-14 All-Defensive (2nd)
2013-14 All-NBA (1st)
2014-15 All-NBA (1st)
2015-16 All-NBA (1st)
2016-17 All-NBA (1st)
2017-18 All-NBA (1st)
2018-19 All-NBA (3rd)
2019-20 All-NBA (1st)
2020-21 All-NBA (2nd)
2021-22 All-NBA (3rd)
2022-23 All-NBA (3rd)
2023-24 All-NBA (3rd)
2023-24 In-Season Tournament All-Tournament Team
2024-25 All-NBA (2nd)
