0
2005-06 NBA 5.1 (16th)
2006-07 NBA 4.2 (18th)
2007-08 NBA 9.3 (2nd)
2008-09 NBA 9.9 (2nd)
2010-11 NBA 6.7 (3rd)
2011-12 NBA 6.1 (2nd)
2012-13 NBA 6.4 (3rd)
2013-14 NBA 5.8 (5th)
2014-15 NBA 7.2 (3rd)
2015-16 NBA 6.0 (7th)
2016-17 NBA 5.2 (12th)
2017-18 NBA 4.2 (14th)
2019-20 NBA 3.5 (10th)
2020-21 NBA 3.6 (16th)
2021-22 NBA 4.0 (13th)
Active 98.9 (2nd)
Career 98.9 (5th)
Career NBA 98.9 (5th)
Career Playoffs 11.9 (19th)
Career NBA Playoffs 11.9 (18th)
Career (Reg+Playoffs) 110.8 (5th)
Career NBA (Reg+Playoffs) 110.8 (5th)
